Year,Agricultural land (% of land area),"Birth rate, crude (per 1,000 people)",Current account balance (% of GDP),Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)",Expense (% of GDP),Exports of goods and services (% of GDP),Exports of goods and services (annual % growth),"Fertility rate, total (births per woman)",Final consumption expenditure (% of GDP),Final consumption expenditure (annual % growth),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),GDP per capita growth (annual %),GNI growth (annual %),GNI per capita growth (annual %),Gross capital formation (% of GDP),Gross capital formation (annual % growth),Gross domestic savings (% of GDP),Gross savings (% of GDP),Imports of goods and services (% of GDP),Imports of goods and services (annual % growth),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)","Labor force, total","Life expectancy at birth, total (years)","Manufacturing, value added (% of GDP)",Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Population growth (annual %),"Population, total","Revenue, excluding grants (% of GDP)","Services, value added (% of GDP)",Tax revenue (% of GDP),"Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)
2000,55.69458321,14.03,1.69386988,4.50828123,6.45,..,20.8937073,..,1.628,63.57078828,10.9183605,3.475125903,0.380738008,8.490093406,7.638597676,8.593378438,7.741072065,33.57302849,7.011843688,36.42921172,35.73955353,18.5173266,..,2.062792613,0.347811227,706837950,71.881,..,1.835759685,6.744724531,0.787956593,1262645000,..,39.78765517,..,3.707,3.26,3666.951
2001,55.75787186,13.38,1.299162935,4.25330067,6.43,..,20.31206722,..,1.563,61.93324901,6.650749497,3.512988539,0.723905742,8.335733478,7.551654832,8.089264799,7.306969967,35.54159672,20.39011081,38.06675099,37.26929737,18.21514311,..,2.047049457,0.719125609,715928584,72.606,..,1.983086244,11.37860424,0.726380638,1271850000,..,41.22312631,..,3.6,3.8,3844.8357
2002,55.82113207,12.86,2.408745952,4.38285255,6.41,..,22.64462803,..,1.566,60.98344325,8.611559084,3.609081135,0.427324267,9.13363079,8.404879975,9.548934362,8.817410315,36.15344344,12.65634849,39.01655675,38.88322089,20.10255352,..,0.602099078,-0.731970902,725938760,72.985,..,2.059364653,16.08250443,0.669999568,1280400000,..,42.24794475,..,4,4.24,4150.578
2003,55.88438929,12.41,2.593030619,4.41762781,6.4,..,26.98087714,..,1.57,58.02199431,5.909549096,3.487418899,0.509316558,10.03803048,9.354776644,10.45030598,9.764492222,39.62013059,23.19298614,41.97800569,42.41350434,24.82334243,..,2.603177719,1.127603487,735682023,73.371,..,1.996288936,20.94488156,0.622860936,1288400000,..,42.02821619,..,4.3,4.58,4790.8644
2004,55.94764475,12.29,3.525766467,4.29347467,6.42,..,31.06134134,..,1.605,55.23624791,7.345269454,3.483641535,0.407733392,10.11362138,9.46155877,10.47855153,9.824327906,41.84719726,18.81336494,44.76375209,45.67236734,28.44419008,..,6.951992681,3.824637431,744936890,73.748,31.97506997,1.938508233,25.81891467,0.593932815,1296075000,..,41.18314017,..,4.2,4.49,5520.7369
2005,56.01090318,12.4,5.790933664,4.17605019,6.51,..,33.82992775,..,1.624,54.3845409,11.24662001,4.554263482,0.600603659,11.39459181,10.74137513,10.90299855,10.25266457,40.34614955,10.4914946,45.6154591,45.95478431,28.37809417,..,3.903744269,1.776414077,754465388,74.111,32.09392433,1.871858023,30.14865123,0.58812499,1303720000,9.625040826,41.33592592,8.569243858,4.2,4.52,6264.7453
2006,56.07415984,12.09,8.424165886,3.94742203,6.81,..,36.03519729,..,1.644,52.57249548,9.563258105,4.508600503,0.869591811,12.72095567,12.09330469,13.295882,12.66502973,39.9103387,15.1477151,47.42750452,48.26050542,28.44399391,..,3.926549396,1.649430995,761948735,74.504,32.45232806,1.869591636,35.11253649,0.558374367,1311020000,10.12516151,41.81684191,9.057253983,4.1,4.43,6951.9468
2007,56.1374177,12.1,9.947889233,3.67491412,6.93,..,35.43494758,..,1.666,50.99628774,12.20776364,4.400983342,0.483189177,14.23086093,13.6358205,14.7058604,14.10834565,40.48219017,17.27430828,49.00371226,50.27522622,26.7586775,..,7.749686493,4.816767674,766486940,74.762,32.38335312,1.750164585,41.41509824,0.522271866,1317885000,16.73450248,42.86966501,9.771406065,4,4.35,7555.488
2008,56.20067197,12.14,9.154063704,3.900002,7.06,..,32.60250288,..,1.701,49.77349454,7.736470109,3.733610711,1.235048262,9.650678919,9.090280101,10.08603993,9.523416083,42.26902681,13.7383096,50.22650546,51.78758738,25.00983936,..,7.795346037,5.92525137,769779554,74.872,32.1194116,1.716042546,48.20785124,0.512386932,1324655000,11.07653773,42.85977979,10.10142653,4.2,4.59,7783.4264
2009,56.26392504,11.95,4.768155539,4.34958458,7.08,..,24.74991391,..,1.714,50.08027204,10.02962754,2.568894307,0.860302681,9.398725633,8.855947676,8.532755388,7.994273912,45.35623583,20.65579385,49.91972796,50.37304208,20.4350623,..,-0.209533361,-0.728165251,772141043,75.343,31.59623809,1.893523796,55.79864972,0.497381401,1331260000,11.66270616,44.4066672,10.30944174,4.3,4.72,8349.8051
2010,56.18347308,11.9,3.906734,4.23068333,7.11,..,27.18533272,..,1.687,48.91336167,9.30248644,4.003544569,0.952058055,10.63587106,10.10283262,10.33525138,9.80366131,46.5561547,15.74624767,51.08663833,51.32671358,23.53174494,..,6.881380253,3.175324753,773873234,75.599,31.61282168,1.733519862,63.71521287,0.482959689,1337705000,11.23107994,44.17699192,10.21204861,4.1,4.53,9134.0724
2011,56.10366022,13.27,1.802237144,4.34274387,7.14,..,26.56818935,..,1.668,50.15929328,11.708006,3.708806517,0.641201722,9.550832179,8.953816042,8.986772808,8.392830609,46.6601211,8.763015488,49.84070672,49.23332825,24.17271524,..,8.075684467,5.553898923,778275581,75.903,32.06479119,1.659082516,72.67381064,0.546457595,1345035000,11.23872601,44.29305673,10.31279489,4.1,4.55,9984.4725
2012,56.02352781,14.57,2.524461645,4.56584787,7.13,..,25.49252222,..,1.798,51.1426133,7.971912865,2.827105336,0.761392113,7.863736449,7.134523777,8.645436706,7.910939351,46.2252656,7.45276483,48.8573867,48.66536341,22.77500014,..,2.331217576,2.619524326,779022561,76.192,31.52857787,1.700942672,81.38349829,0.678345459,1354190000,11.13895896,45.46330539,10.25676868,4.1,4.58,10297.905
2013,55.94339539,13.03,1.548554383,4.71490669,7.13,..,24.59925444,..,1.714,51.71714701,7.121861714,3.039854863,0.762458596,7.766150098,7.050734134,7.13222774,6.421020131,46.39894934,9.310780112,48.28285299,47.37839154,22.14512114,..,2.163370027,2.621050017,779251311,76.452,30.67100807,1.714340923,89.31856151,0.666072978,1363240000,10.95623652,46.8804015,9.907732583,4.05,4.6,10792.1384
2014,55.86326298,13.83,2.253293518,4.77790594,7.12,..,23.51006091,..,1.769,52.52494301,7.691234785,2.55924761,1.175391014,7.425763656,6.750760316,8.456223786,7.774745611,45.82395276,7.43061406,47.47505699,47.61581841,21.39515505,..,1.031063688,1.921641628,780370287,76.717,30.39644421,1.738409288,92.84598562,0.63032639,1371860000,15.81817803,48.27094049,9.678618827,4.1,4.63,10916.9228
2015,55.78313057,11.99,2.649011376,4.93827963,7.07,..,21.35407988,..,1.67,53.99089043,8.91098683,2.192177731,1.576545107,7.041328879,6.420736477,6.385139208,5.76835119,43.23480666,3.541470115,46.00910957,45.41758943,18.11008945,..,-0.002944094,1.437023809,781077009,76.977,28.95167058,1.776771069,92.70071605,0.581456147,1379860000,16.04302306,50.77164515,9.376920447,..,4.65,10776.9127
2016,55.70300409,13.57,1.703300028,4.97955608,7.04,..,19.58438005,..,1.772,55.03873751,8.146734951,1.555636999,1.926630609,6.848762205,6.238215448,6.826359839,6.215941091,42.63137693,7.202675746,44.96126249,44.38066144,17.31003496,..,1.407346027,2.000001822,780932880,77.218,28.06944224,1.76888659,97.36386675,0.573050906,1387790000,15.62992643,52.36209096,9.122915561,..,4.56,10805.0515
2017,55.62287167,12.64,1.532644969,5.06592178,7.06,..,19.69227699,..,1.813,54.86760843,6.91444379,1.349123696,1.12337326,6.947200793,6.301863101,7.348349036,6.700590746,43.01329739,6.289227579,45.13239157,44.9050475,17.94013625,..,4.232681975,1.593136001,779166682,77.248,28.10893687,1.711242644,104.2265872,0.605245013,1396215000,15.88317205,52.68473653,9.419317653,3.9,4.47,11037.1271
2018,55.54273924,10.86,0.173667285,5.16790485,7.08,..,19.11210354,..,1.554,55.05768886,7.69637668,1.693894284,1.029345269,6.749773832,6.251700556,6.41743299,5.92091035,43.79347517,6.729353839,44.94231114,44.48574799,18.45368057,..,3.499747636,2.0747904,776868988,77.744,27.84101115,1.673578209,116.3882038,0.467672053,1402760000,16.53589554,53.26996792,9.052685732,4.93,4.31,11572.4164
2019,55.46264943,10.41,0.720658984,5.3502779,7.09,..,18.40999232,..,1.496,56.01857304,6.155441123,1.310715932,0.958755616,5.950500754,5.575316863,6.124995045,5.749193248,43.25110564,3.967278475,43.98142696,43.77302796,17.48010372,..,1.286700408,2.899234164,775928449,77.968,26.77472412,1.682911012,122.8132903,0.35474089,1407745000,16.10057039,54.26890427,8.49286377,5.15,4.56,11850.5929
2020,55.45263687,8.52,1.694171965,5.59359741,7.07,..,18.5861392,..,1.281,55.33044578,-0.270040362,1.723175549,1.046592361,2.238638356,1.995558042,1.704862924,1.463051702,43.36667423,4.292295836,44.66955422,43.92641665,16.1681565,..,0.492493918,2.419421895,763830073,78.077,26.28516576,1.756699471,120.5961882,0.23804087,1411100000,14.08608684,54.45853575,8.090626216,5.61,5,12022.433
2021,55.44262431,7.52,1.980228144,5.38360548,7.18,..,19.94397383,..,1.164,53.92170365,8.895999725,1.930786223,1.003328449,8.448469417,8.351719954,8.5619992,8.465148454,43.14029907,3.860035805,46.07829635,45.47068464,17.35801703,..,4.552326579,0.981015136,781187865,78.211,27.54710274,1.605259718,121.5382526,0.0892522,1412360000,14.9369704,53.46821053,7.965128046,5.11,4.55,12621.6147
2022,55.43261175,6.77,2.479474586,..,7.37,..,20.79148307,..,1.175,53.4419386,2.091703929,1.06367353,1.174660069,2.95066993,2.964156837,2.783072326,2.796537278,43.14625252,3.323466537,46.5580614,45.81382461,17.55999902,..,1.823677107,1.973575557,770113477,78.587,27.06653547,1.623146278,124.8775379,-0.013099501,1412175000,15.01247334,53.35056768,7.700873217,..,4.98,12526.8263
2023,..,..,1.421693486,..,..,..,19.74307232,..,..,55.63783544,7.861976601,0.240113517,1.041324581,5.249557864,5.358857863,5.270903668,5.380225835,42.07895156,3.641877168,44.36216456,43.60718661,17.57369904,..,-0.582393794,0.234836829,774607590,..,26.18064358,1.665339145,..,-0.103794532,1410710000,..,54.5968736,..,..,4.67,13259.639
